Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
29-04-2024,802.6,786.8,825.9,764.5,1.31M,2.27%,575.1,590,591.95,571,8.88M,-2.17%,,,,,,,,,,,,29-04-2024,575.10,802.6
26-04-2024,784.75,795,799.5,779,627.55K,0.19%,587.85,597,603.4,587,3.09M,-1.15%,,,,,,,,,,,,26-04-2024,587.85,784.75
25-04-2024,783.25,778.3,788,772.6,337.41K,0.85%,594.7,595.45,596.4,585.6,6.15M,0.08%,,,,,,,,,,,,25-04-2024,594.70,783.25
24-04-2024,776.65,779,792.5,767,780.12K,0.59%,594.2,600.05,601.1,593,4.10M,-1.16%,,,,,,,,,,,,24-04-2024,594.20,776.65
23-04-2024,772.1,773.5,778.9,761.7,330.86K,0.29%,601.15,606.05,609.15,598,4.53M,-0.79%,,,,,,,,,,,,23-04-2024,601.15,772.1
22-04-2024,769.9,779.7,788,765.8,347.52K,-0.25%,605.95,601.85,608.85,598.1,3.08M,0.73%,,,,,,,,,,,,22-04-2024,605.95,769.9
19-04-2024,771.85,745.9,776,732.5,634.04K,2.63%,601.55,600,604.4,581.1,10.24M,-0.68%,,,,,,,,,,,,19-04-2024,601.55,771.85
18-04-2024,752.1,755,771,748.05,316.50K,0.49%,605.65,618,624,604.15,11.98M,0.17%,,,,,,,,,,,,18-04-2024,605.65,752.1
16-04-2024,748.45,737.05,759.6,735,283.27K,1.40%,604.6,609.05,611.1,600.6,4.97M,-1.36%,,,,,,,,,,,,16-04-2024,604.60,748.45
15-04-2024,738.15,753,761.8,723,465.97K,-3.24%,612.95,610.05,616.5,604.1,2.59M,-0.90%,,,,,,,,,,,,15-04-2024,612.95,738.15
12-04-2024,762.85,766.1,780.45,760.2,440.29K,-0.80%,618.5,621,624,616.25,5.08M,-0.48%,,,,,,,,,,,,12-04-2024,618.50,762.85
10-04-2024,769,765.1,772.35,758.9,268.15K,0.59%,621.5,636,637.1,620,6.75M,-1.96%,,,,,,,,,,,,10-04-2024,621.50,769
09-04-2024,764.5,766.8,794.6,760.55,1.12M,0.08%,633.95,639,639.15,632.65,2.87M,-0.10%,,,,,,,,,,,,09-04-2024,633.95,764.5
08-04-2024,763.9,773.9,774,759,543.09K,-1.09%,634.6,630,635.9,626.55,3.40M,0.83%,,,,,,,,,,,,08-04-2024,634.60,763.9
05-04-2024,772.3,767.9,778.25,758.3,740.15K,0.34%,629.4,621,630.45,616.3,3.86M,1.12%,,,,,,,,,,,,05-04-2024,629.40,772.3
04-04-2024,769.65,735,794,735,4.49M,4.71%,622.4,625,626.5,618.1,3.86M,-0.27%,,,,,,,,,,,,04-04-2024,622.40,769.65
03-04-2024,735,720,743,717.65,1.23M,1.51%,624.1,629.85,630,620.4,3.82M,-1.23%,,,,,,,,,,,,03-04-2024,624.10,735
02-04-2024,724.05,745.2,747.85,721,2.36M,-3.37%,631.9,631.1,641.65,631.1,5.18M,-0.45%,,,,,,,,,,,,02-04-2024,631.90,724.05
01-04-2024,749.3,651,755.8,651,9.72M,18.96%,634.75,638,638,628,3.87M,0.22%,,,,,,,,,,,,01-04-2024,634.75,749.3
28-03-2024,629.85,633.55,639.3,625.45,271.31K,-0.08%,633.35,626.35,638.75,626.35,6.88M,1.12%,,,,,,,,,,,,28-03-2024,633.35,629.85
27-03-2024,630.35,631,645.9,624.45,619.02K,0.28%,626.35,627.5,638.4,624.05,13.85M,-0.09%,,,,,,,,,,,,27-03-2024,626.35,630.35
26-03-2024,628.6,640,647.7,625,322.06K,-1.80%,626.9,638.85,642.8,625.5,13.82M,0.49%,,,,,,,,,,,,26-03-2024,626.90,628.6
22-03-2024,640.15,639.5,653.5,635.3,318.66K,-0.37%,623.85,623.9,628.65,616,3.64M,0.26%,,,,,,,,,,,,22-03-2024,623.85,640.15
21-03-2024,642.5,623,645.4,623,355.27K,4.77%,622.25,629,639,620,7.20M,-0.66%,,,,,,,,,,,,21-03-2024,622.25,642.5
20-03-2024,613.25,626.8,634,610,513.14K,-2.16%,626.4,630,632.5,619.4,1.71M,-0.96%,,,,,,,,,,,,20-03-2024,626.40,613.25
19-03-2024,626.8,624.85,640.85,621.3,386.36K,0.34%,632.5,634,636.5,623.35,3.86M,-0.25%,,,,,,,,,,,,19-03-2024,632.50,626.8
18-03-2024,624.7,627.8,644.7,620,431.10K,-0.40%,634.1,634.95,636.55,628.25,2.91M,0.28%,,,,,,,,,,,,18-03-2024,634.10,624.7
15-03-2024,627.2,646.7,648.45,621.3,381.90K,-3.02%,632.35,620,634.8,611.3,4.90M,1.62%,,,,,,,,,,,,15-03-2024,632.35,627.2
14-03-2024,646.7,610,651.95,607.65,439.85K,5.70%,622.25,603,624.5,598.2,3.75M,2.00%,,,,,,,,,,,,14-03-2024,622.25,646.7
13-03-2024,611.85,663,664.5,604,431.94K,-7.45%,610.05,623.25,626.7,604.05,2.84M,-1.85%,,,,,,,,,,,,13-03-2024,610.05,611.85
12-03-2024,661.1,681.85,681.85,658,372.30K,-2.50%,621.55,618.25,629.8,615.05,4.98M,0.11%,,,,,,,,,,,,12-03-2024,621.55,661.1
11-03-2024,678.05,702.05,704.7,674,260.73K,-3.52%,620.85,625,629,618.9,3.78M,-0.18%,,,,,,,,,,,,11-03-2024,620.85,678.05
07-03-2024,702.8,679,708,679,905.06K,3.94%,621.95,611.55,624.15,611.55,3.68M,1.30%,,,,,,,,,,,,07-03-2024,621.95,702.8
06-03-2024,676.15,694.9,696.95,665.15,473.86K,-2.45%,613.95,611.25,618.1,604.7,4.90M,1.03%,,,,,,,,,,,,06-03-2024,613.95,676.15
05-03-2024,693.15,715,719.9,690.9,855.26K,-3.71%,607.7,611.8,615.6,603.75,4.34M,-0.43%,,,,,,,,,,,,05-03-2024,607.70,693.15
04-03-2024,719.85,735.8,735.8,716.5,279.68K,-1.73%,610.3,595,620.5,587.6,7.27M,3.04%,,,,,,,,,,,,04-03-2024,610.30,719.85
02-03-2024,732.55,725.05,738,723,60.50K,0.98%,592.3,592.75,597,591.05,171.94K,0.40%,,,,,,,,,,,,02-03-2024,592.30,732.55
01-03-2024,725.45,700,729.8,693.35,645.01K,4.49%,589.95,584.9,596.8,583,3.46M,1.37%,,,,,,,,,,,,01-03-2024,589.95,725.45
29-02-2024,694.25,700.85,704.95,683.2,469.00K,-1.07%,582,581,585.9,575.55,2.75M,0.24%,,,,,,,,,,,,29-02-2024,582.00,694.25
28-02-2024,701.75,718.9,721.5,698,306.45K,-1.87%,580.6,582,590.9,578.15,3.43M,-0.17%,,,,,,,,,,,,28-02-2024,580.60,701.75
27-02-2024,715.1,723.95,728.7,709,332.98K,-1.22%,581.6,576.05,592,572.85,6.32M,0.91%,,,,,,,,,,,,27-02-2024,581.60,715.1
26-02-2024,723.95,712.4,748.1,710,1.51M,3.02%,576.35,568.75,580.95,567.25,4.20M,-0.75%,,,,,,,,,,,,26-02-2024,576.35,723.95
23-02-2024,702.75,722.8,729.85,697.4,762.34K,-1.95%,580.7,577.2,583.35,575.75,2.56M,1.05%,,,,,,,,,,,,23-02-2024,580.70,702.75
22-02-2024,716.75,730.1,738.85,712,399.74K,-1.38%,574.65,578,579.4,567.05,4.20M,-0.48%,,,,,,,,,,,,22-02-2024,574.65,716.75
21-02-2024,726.75,745.2,755,722,405.82K,-2.15%,577.45,587.95,591.25,574.5,3.32M,-1.79%,,,,,,,,,,,,21-02-2024,577.45,726.75
20-02-2024,742.7,749.85,761.4,741,383.12K,-0.60%,587.95,580.2,589.5,576.25,3.52M,0.47%,,,,,,,,,,,,20-02-2024,587.95,742.7
19-02-2024,747.2,760.6,781.75,743.35,621.98K,-2.81%,585.2,594.3,594.3,584.4,2.79M,-1.22%,,,,,,,,,,,,19-02-2024,585.20,747.2
16-02-2024,768.8,788,791,763.8,546.44K,-1.67%,592.45,588.5,594,583.7,2.97M,1.26%,,,,,,,,,,,,16-02-2024,592.45,768.8
15-02-2024,781.85,787.8,793.8,778.7,221.03K,-0.27%,585.1,586.85,589.35,582,1.74M,-0.04%,,,,,,,,,,,,15-02-2024,585.10,781.85
14-02-2024,783.95,773,787.35,766,235.05K,0.80%,585.35,582.4,586.95,578.4,1.57M,-0.71%,,,,,,,,,,,,14-02-2024,585.35,783.95
13-02-2024,777.7,800,801.4,774,460.02K,-1.23%,589.55,577.25,594,574.7,5.01M,2.14%,,,,,,,,,,,,13-02-2024,589.55,777.7
12-02-2024,787.35,829.8,844.4,782.1,606.28K,-4.66%,577.2,584,586.5,572.4,2.80M,-1.16%,,,,,,,,,,,,12-02-2024,577.20,787.35
09-02-2024,825.85,814.5,835,804.65,548.58K,2.14%,584,591.7,594.15,582.25,2.45M,-1.30%,,,,,,,,,,,,09-02-2024,584.00,825.85
08-02-2024,808.55,828,832.95,805.05,388.71K,-1.55%,591.7,605.15,616.05,590.1,7.78M,-2.22%,,,,,,,,,,,,08-02-2024,591.70,808.55
07-02-2024,821.3,817.9,845.6,811.05,915.16K,1.83%,605.15,597,614,596,7.56M,2.09%,,,,,,,,,,,,07-02-2024,605.15,821.3
06-02-2024,806.55,799.65,814,796,287.97K,1.88%,592.75,564,595.05,562.25,15.92M,5.22%,,,,,,,,,,,,06-02-2024,592.75,806.55
05-02-2024,791.7,806.5,821.7,785,418.74K,-1.15%,563.35,578.8,581.95,561.55,3.75M,-2.67%,,,,,,,,,,,,05-02-2024,563.35,791.7
02-02-2024,800.9,829,839.9,792,987.43K,-2.34%,578.8,589.95,589.95,576.5,3.01M,-1.41%,,,,,,,,,,,,02-02-2024,578.80,800.9
01-02-2024,820.1,785.95,825.8,783.75,1.44M,4.52%,587.1,577.2,591.4,567.2,8.91M,1.82%,,,,,,,,,,,,01-02-2024,587.10,820.1
31-01-2024,784.6,770,797.8,766.85,1.11M,2.81%,576.6,573.5,578,571.3,4.07M,0.28%,,,,,,,,,,,,31-01-2024,576.60,784.6
30-01-2024,763.15,795.25,802.9,758,752.72K,-3.55%,575,583,583.6,571.55,5.90M,-0.61%,,,,,,,,,,,,30-01-2024,575.00,763.15
29-01-2024,791.25,826.8,834.4,783.35,1.09M,-3.61%,578.55,575.05,584,575.05,4.40M,-0.08%,,,,,,,,,,,,29-01-2024,578.55,791.25
25-01-2024,820.9,830,913.7,806,5.91M,-4.52%,579,584.15,586.55,577.3,3.73M,-0.46%,,,,,,,,,,,,25-01-2024,579.00,820.9
24-01-2024,859.8,863,863,842.55,336.37K,-0.44%,581.65,590,591,576.7,6.14M,-0.77%,,,,,,,,,,,,24-01-2024,581.65,859.8
23-01-2024,863.6,894.05,906.45,851,838.14K,-0.61%,586.15,600.25,613.75,582.8,5.99M,-3.59%,,,,,,,,,,,,23-01-2024,586.15,863.6
20-01-2024,868.9,875.65,887.85,868,254.86K,-0.91%,608,618.3,619.45,607.5,1.19M,-1.28%,,,,,,,,,,,,20-01-2024,608.00,868.9
19-01-2024,876.9,864.7,888,848.5,852.39K,2.42%,615.9,614.5,618.4,609.8,2.56M,1.33%,,,,,,,,,,,,19-01-2024,615.90,876.9
18-01-2024,856.2,828,905.5,810.55,4.19M,3.46%,607.8,608,612.3,600.6,3.66M,0.20%,,,,,,,,,,,,18-01-2024,607.80,856.2
17-01-2024,827.55,839,858.95,824.1,890.53K,-2.41%,606.6,611,618.5,605.1,10.18M,-0.76%,,,,,,,,,,,,17-01-2024,606.60,827.55
16-01-2024,848,792.95,894.7,789.45,5.81M,6.37%,611.25,615.75,616.85,609.05,8.76M,-0.52%,,,,,,,,,,,,16-01-2024,611.25,848
15-01-2024,797.2,804.8,808,787.05,205.53K,-0.28%,614.45,637,637,611.85,12.43M,-3.63%,,,,,,,,,,,,15-01-2024,614.45,797.2
12-01-2024,799.45,778.7,807,778.3,310.05K,2.57%,637.6,646.85,648.6,621.3,7.08M,-0.99%,,,,,,,,,,,,12-01-2024,637.60,799.45
11-01-2024,779.45,783,803.45,772.6,281.58K,-0.45%,644,646,653.1,639.9,2.80M,-0.15%,,,,,,,,,,,,11-01-2024,644.00,779.45
10-01-2024,782.95,789,793.85,775.1,145.99K,-0.64%,644.95,642,650.35,641.45,3.29M,0.63%,,,,,,,,,,,,10-01-2024,644.95,782.95
09-01-2024,788,793,796.3,787,95.54K,-0.08%,640.9,647,650.8,638.6,3.65M,-0.77%,,,,,,,,,,,,09-01-2024,640.90,788
01-08-2024,788.65,800,804.35,786,116.59K,-1.50%,645.85,647,654.15,641.7,2.06M,-0.14%,,,,,,,,,,,,01-08-2024,713.60,809.55
01-05-2024,800.65,802,807,788.3,184.90K,0.53%,646.75,648.5,654.55,642.45,1.39M,-0.19%,,,,,,,,,,,,01-05-2024,646.75,800.65
01-04-2024,796.45,793,798.85,787.95,135.54K,1.05%,647.95,638,649,638,4.41M,1.69%,,,,,,,,,,,,01-04-2024,634.75,749.3
01-03-2024,788.15,785.1,803.95,785.1,347.06K,1.24%,637.2,644,648.45,636.1,1.89M,-1.29%,,,,,,,,,,,,01-03-2024,589.95,725.45
01-02-2024,778.5,785.9,792.9,776,223.33K,-0.87%,645.5,649.5,654.3,642.6,3.01M,-0.49%,,,,,,,,,,,,01-02-2024,587.10,820.1
01-01-2024,785.3,781.9,794.9,780.9,144.15K,0.58%,648.7,647,652.35,644.35,1.34M,0.31%,,,,,,,,,,,,01-01-2024,648.70,785.3
12-29-2023,780.75,778,785.4,774,216.36K,0.38%,646.7,648.1,649.85,643,1.65M,-0.22%,,,,,,,,,,,,12-29-2023,646.70,780.75
12-28-2023,777.8,788,791.95,773.1,251.05K,-1.02%,648.1,647,650.95,644.25,3.57M,0.67%,,,,,,,,,,,,12-28-2023,648.10,777.8
12-27-2023,785.85,787.45,794.6,781,137.24K,-0.03%,643.8,643,646,638.4,2.35M,0.91%,,,,,,,,,,,,12-27-2023,643.80,785.85
12-26-2023,786.1,776.8,789.5,769.35,179.31K,1.39%,638,641,645.9,634,2.20M,-0.29%,,,,,,,,,,,,12-26-2023,638.00,786.1
12-22-2023,775.35,775.2,786.85,770,178.35K,0.55%,639.85,646,649,637.1,2.85M,-0.68%,,,,,,,,,,,,12-22-2023,639.85,775.35
