Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
16-09-2024,"1,061.50","1,148.00","1,191.95","1,051.00",7.75M,-6.64%,701.35,708.85,709.2,698,2.75M,-0.57%,,,,,,,,,,,,16-09-2024,701.35,1061.5
13-09-2024,"1,137.05","1,117.90","1,202.20","1,092.30",8.88M,2.53%,705.4,712,713.75,703.15,1.89M,-1.28%,,,,,,,,,,,,13-09-2024,705.40,1137.05
12-09-2024,"1,109.00","1,125.00","1,132.65","1,087.70",3.07M,0.06%,714.55,703.15,715.95,698.3,3.49M,2.06%,,,,,,,,,,,,12-09-2024,714.55,1109
11-09-2024,"1,108.35","1,051.30","1,133.95","1,041.45",7.41M,5.47%,700.15,701,704.3,696,4.60M,-0.39%,,,,,,,,,,,,11-09-2024,700.15,1108.35
10-09-2024,"1,050.90","1,082.50","1,084.95","1,044.00",1.41M,-2.53%,702.9,730,732.15,701.2,7.37M,-4.47%,,,,,,,,,,,,10-09-2024,702.90,1050.9
09-09-2024,"1,078.20","1,012.00","1,100.00","1,007.60",3.69M,5.35%,735.8,735.1,749,731.25,2.64M,-0.35%,,,,,,,,,,,,09-09-2024,735.80,1078.2
06-09-2024,"1,023.40","1,040.00","1,053.85","1,017.05",2.42M,-1.42%,738.4,750,754.1,736.05,2.77M,-1.79%,,,,,,,,,,,,06-09-2024,738.40,1023.4
05-09-2024,"1,038.10","1,055.50","1,109.70","1,015.35",5.79M,-1.40%,751.85,758,758.65,750.4,1.76M,-0.92%,,,,,,,,,,,,05-09-2024,751.85,1038.1
04-09-2024,"1,052.85",972.35,"1,088.70",959.75,7.81M,4.99%,758.8,751.7,759.45,748.4,3.03M,0.01%,,,,,,,,,,,,04-09-2024,758.80,1052.85
03-09-2024,"1,002.80",974.7,"1,014.00",951,3.80M,2.88%,758.75,754,761.2,741.65,6.27M,1.80%,,,,,,,,,,,,03-09-2024,758.75,1002.8
02-09-2024,974.7,985,994.85,968.1,2.18M,-0.28%,745.3,743.15,754,739.85,3.07M,0.89%,,,,,,,,,,,,02-09-2024,745.30,974.7
30-08-2024,977.45,947,995,936.75,4.98M,3.23%,738.7,736.9,742.7,733.5,6.23M,0.24%,,,,,,,,,,,,30-08-2024,738.70,977.45
29-08-2024,946.9,906.65,972.6,896.7,10.18M,4.92%,736.9,740,748.5,731.85,3.96M,-0.70%,,,,,,,,,,,,29-08-2024,736.90,946.9
28-08-2024,902.5,883.8,927,882.45,5.96M,2.47%,742.1,739.95,746.55,734.05,3.00M,0.34%,,,,,,,,,,,,28-08-2024,742.10,902.5
27-08-2024,880.75,882.9,889.3,870.65,972.32K,0.30%,739.55,724,742.45,719.3,5.63M,1.92%,,,,,,,,,,,,27-08-2024,739.55,880.75
26-08-2024,878.1,866.95,885.25,850.85,1.81M,1.33%,725.65,734,734,719.25,2.13M,-0.46%,,,,,,,,,,,,26-08-2024,725.65,878.1
23-08-2024,866.6,865.2,879,838.6,2.32M,-0.06%,729,725,730.5,723.45,3.90M,0.41%,,,,,,,,,,,,23-08-2024,729.00,866.6
22-08-2024,867.15,884.85,886.75,861.65,6.58M,-2.88%,726,726,729.9,720.05,3.89M,0.20%,,,,,,,,,,,,22-08-2024,726.00,867.15
21-08-2024,892.85,827,909,826,15.24M,10.11%,724.55,714.35,727.6,708.65,6.19M,1.96%,,,,,,,,,,,,21-08-2024,724.55,892.85
20-08-2024,810.9,826,826.95,809,945.89K,-1.40%,710.6,687,713,684.05,6.83M,3.63%,,,,,,,,,,,,20-08-2024,710.60,810.9
19-08-2024,822.4,831.9,832,819.15,374.97K,-0.27%,685.7,689.4,689.4,678.5,2.35M,-0.54%,,,,,,,,,,,,19-08-2024,685.70,822.4
16-08-2024,824.6,835,838.9,821.7,721.55K,-0.70%,689.4,664.65,690.6,664.65,4.58M,0.44%,,,,,,,,,,,,16-08-2024,689.40,824.6
14-08-2024,830.4,809.9,835,798,1.68M,3.33%,686.35,686,690.6,676.4,2.96M,0.20%,,,,,,,,,,,,14-08-2024,686.35,830.4
